__time,/desired_joint_accelerations/data[0],/desired_joint_accelerations/data[1],/desired_joint_accelerations/layout/data_offset,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781155884.323699,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.324931,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.325654,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.325745,,,,,,,1781155884.325555325,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.326524,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.326802,,,,,,,1781155884.326503038,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.327523,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.327552,,,,,,,1781155884.327306747,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.328300,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.328367,,,,,,,1781155884.328229904,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.329072,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.329162,,,,,,,1781155884.329036236,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.330040,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.330054,,,,,,,1781155884.329932451,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.330965,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.331033,,,,,,,1781155884.330906630,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.331887,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.332006,,,,,,,1781155884.331856251,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.332770,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.332801,,,,,,,1781155884.332729578,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.333683,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.333730,,,,,,,1781155884.333575249,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.334613,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.334659,,,,,,,1781155884.334521770,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.335577,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.335646,,,,,,,1781155884.335474968,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.336531,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.336644,,,,,,,1781155884.336461544,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.337271,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.337354,,,,,,,1781155884.337257624,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.338212,,,,0.000000000,0.000000000,0.000000000,,,,,
1781155884.338296,,,,,,,1781155884.338171959,0.785398000,0.000000000,-0.785398000,0.000000000
1781155884.339124,,,,0.000000000,0.000000000,0.000000000,,,,,
